xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL
37.5	38.5	38 4	itération	38	itération	4	2
38.5	39.5	39 4	itération	39	itération	4	2
39.5	40.5	40 4	itération	40	itération	4	2
-0.5	0.5	0 5	itération	0	itération	5	2
0.5	1.5	1 5	itération	1	itération	5	2
1.5	2.5	2 5	itération	2	itération	5	2
2.5	3.5	3 5	itération	3	itération	5	2
3.5	4.5	4 5	itération	4	itération	5	2
4.5	5.5	1	itération	5	itération	5	2
5.5	6.5	6 5	itération	6	itération	5	2
6.5	7.5	7 5	itération	7	itération	5	2
7.5	8.5	8 5	itération	8	itération	5	2
8.5	9.5	9 5	itération	9	itération	5	2
9.5	10.5	10 5	itération	10	itération	5	2
10.5	11.5	11 5	itération	11	itération	5	2
11.5	12.5	12 5	itération	12	itération	5	2
12.5	13.5	13 5	itération	13	itération	5	2
13.5	14.5	14 5	itération	14	itération	5	2
14.5	15.5	15 5	itération	15	itération	5	2
15.5	16.5	16 5	itération	16	itération	5	2
16.5	17.5	17 5	itération	17	itération	5	2
17.5	18.5	18 5	itération	18	itération	5	2
18.5	19.5	19 5	itération	19	itération	5	2
19.5	20.5	20 5	itération	20	itération	5	2
20.5	21.5	21 5	itération	21	itération	5	2
21.5	22.5	22 5	itération	22	itération	5	2
22.5	23.5	23 5	itération	23	itération	5	2
23.5	24.5	24 5	itération	24	itération	5	2
24.5	25.5	25 5	itération	25	itération	5	2
25.5	26.5	26 5	itération	26	itération	5	2
26.5	27.5	27 5	itération	27	itération	5	2
27.5	28.5	28 5	itération	28	itération	5	2
28.5	29.5	29 5	itération	29	itération	5	2
29.5	30.5	30 5	itération	30	itération	5	2
30.5	31.5	31 5	itération	31	itération	5	2
31.5	32.5	32 5	itération	32	itération	5	2
32.5	33.5	33 5	itération	33	itération	5	2
33.5	34.5	34 5	itération	34	itération	5	2
34.5	35.5	35 5	itération	35	itération	5	2
35.5	36.5	36 5	itération	36	itération	5	2
36.5	37.5	37 5	itération	37	itération	5	2
37.5	38.5	38 5	itération	38	itération	5	2
38.5	39.5	39 5	itération	39	itération	5	2
39.5	40.5	40 5	itération	40	itération	5	2
-0.5	0.5	0 6	itération	0	itération	6	2
0.5	1.5	1 6	itération	1	itération	6	2
1.5	2.5	2 6	itération	2	itération	6	2
2.5	3.5	3 6	itération	3	itération	6	2
3.5	4.5	4 6	itération	4	itération	6	2
4.5	5.5	5 6	itération	5	itération	6	2
5.5	6.5	1	itération	6	itération	6	2
6.5	7.5	7 6	itération	7	itération	6	2
7.5	8.5	8 6	itération	8	itération	6	2
8.5	9.5	9 6	itération	9	itération	6	2
9.5	10.5	10 6	itération	10	itération	6	2
10.5	11.5	11 6	itération	11	itération	6	2
11.5	12.5	12 6	itération	12	itération	6	2
12.5	13.5	13 6	itération	13	itération	6	2
13.5	14.5	14 6	itération	14	itération	6	2
14.5	15.5	15 6	itération	15	itération	6	2
15.5	16.5	16 6	itération	16	itération	6	2
16.5	17.5	17 6	itération	17	itération	6	2
17.5	18.5	18 6	itération	18	itération	6	2
18.5	19.5	19 6	itération	19	itération	6	2
19.5	20.5	20 6	itération	20	itération	6	2
20.5	21.5	21 6	itération	21	itération	6	2
21.5	22.5	22 6	itération	22	itération	6	2
22.5	23.5	23 6	itération	23	itération	6	2
23.5	24.5	24 6	itération	24	itération	6	2
24.5	25.5	25 6	itération	25	itération	6	2
25.5	26.5	26 6	itération	26	itération	6	2
26.5	27.5	27 6	itération	27	itération	6	2
27.5	28.5	28 6	itération	28	itération	6	2
28.5	29.5	29 6	itération	29	itération	6	2
29.5	30.5	30 6	itération	30	itération	6	2
30.5	31.5	31 6	itération	31	itération	6	2
31.5	32.5	32 6	itération	32	itération	6	2
32.5	33.5	33 6	itération	33	itération	6	2
33.5	34.5	34 6	itération	34	itération	6	2
34.5	35.5	35 6	itération	35	itération	6	2
35.5	36.5	36 6	itération	36	itération	6	2
36.5	37.5	37 6	itération	37	itération	6	2
37.5	38.5	38 6	itération	38	itération	6	2
38.5	39.5	39 6	itération	39	itération	6	2
39.5	40.5	40 6	itération	40	itération	6	2
-0.5	0.5	0 7	itération	0	itération	7	2
0.5	1.5	1 7	itération	1	itération	7	2
1.5	2.5	2 7	itération	2	itération	7	2
2.5	3.5	3 7	itération	3	itération	7	2
3.5	4.5	4 7	itération	4	itération	7	2
4.5	5.5	5 7	itération	5	itération	7	2
5.5	6.5	6 7	itération	6	itération	7	2
6.5	7.5	1	itération	7	itération	7	2
7.5	8.5	8 7	itération	8	itération	7	2
8.5	9.5	9 7	itération	9	itération	7	2
9.5	10.5	10 7	itération	10	itération	7	2
10.5	11.5	11 7	itération	11	itération	7	2
11.5	12.5	12 7	itération	12	itération	7	2
12.5	13.5	13 7	itération	13	itération	7	2
13.5	14.5	14 7	itération	14	itération	7	2
14.5	15.5	15 7	itération	15	itération	7	2
15.5	16.5	16 7	itération	16	itération	7	2
16.5	17.5	17 7	itération	17	itération	7	2
17.5	18.5	18 7	itération	18	itération	7	2
18.5	19.5	19 7	itération	19	itération	7	2
19.5	20.5	20 7	itération	20	itération	7	2
20.5	21.5	21 7	itération	21	itération	7	2
21.5	22.5	22 7	itération	22	itération	7	2
22.5	23.5	23 7	itération	23	itération	7	2
23.5	24.5	24 7	itération	24	itération	7	2
24.5	25.5	25 7	itération	25	itération	7	2
25.5	26.5	26 7	itération	26	itération	7	2
26.5	27.5	27 7	itération	27	itération	7	2
27.5	28.5	28 7	itération	28	itération	7	2
28.5	29.5	29 7	itération	29	itération	7	2
29.5	30.5	30 7	itération	30	itération	7	2
30.5	31.5	31 7	itération	31	itération	7	2
31.5	32.5	32 7	itération	32	itération	7	2
32.5	33.5	33 7	itération	33	itération	7	2
33.5	34.5	34 7	itération	34	itération	7	2
34.5	35.5	35 7	itération	35	itération	7	2
35.5	36.5	36 7	itération	36	itération	7	2
36.5	37.5	37 7	itération	37	itération	7	2
37.5	38.5	38 7	itération	38	itération	7	2
38.5	39.5	39 7	itération	39	itération	7	2
39.5	40.5	40 7	itération	40	itération	7	2
-0.5	0.5	0 8	itération	0	itération	8	2
0.5	1.5	1 8	itération	1	itération	8	2
1.5	2.5	2 8	itération	2	itération	8	2
2.5	3.5	3 8	itération	3	itération	8	2
3.5	4.5	4 8	itération	4	itération	8	2
4.5	5.5	5 8	itération	5	itération	8	2
5.5	6.5	6 8	itération	6	itération	8	2
6.5	7.5	7 8	itération	7	itération	8	2
7.5	8.5	1	itération	8	itération	8	2
8.5	9.5	9 8	itération	9	itération	8	2
9.5	10.5	10 8	itération	10	itération	8	2
10.5	11.5	11 8	itération	11	itération	8	2
11.5	12.5	12 8	itération	12	itération	8	2
12.5	13.5	13 8	itération	13	itération	8	2
13.5	14.5	14 8	itération	14	itération	8	2
14.5	15.5	15 8	itération	15	itération	8	2
15.5	16.5	16 8	itération	16	itération	8	2
16.5	17.5	17 8	itération	17	itération	8	2
17.5	18.5	18 8	itération	18	itération	8	2
18.5	19.5	19 8	itération	19	itération	8	2
19.5	20.5	20 8	itération	20	itération	8	2
20.5	21.5	21 8	itération	21	itération	8	2
21.5	22.5	22 8	itération	22	itération	8	2
22.5	23.5	23 8	itération	23	itération	8	2
23.5	24.5	24 8	itération	24	itération	8	2
24.5	25.5	25 8	itération	25	itération	8	2
25.5	26.5	26 8	itération	26	itération	8	2
26.5	27.5	27 8	itération	27	itération	8	2
27.5	28.5	28 8	itération	28	itération	8	2
28.5	29.5	29 8	itération	29	itération	8	2
29.5	30.5	30 8	itération	30	itération	8	2
30.5	31.5	31 8	itération	31	itération	8	2
31.5	32.5	32 8	itération	32	itération	8	2
32.5	33.5	33 8	itération	33	itération	8	2
33.5	34.5	34 8	itération	34	itération	8	2
34.5	35.5	35 8	itération	35	itération	8	2
35.5	36.5	36 8	itération	36	itération	8	2
36.5	37.5	37 8	itération	37	itération	8	2
37.5	38.5	38 8	itération	38	itération	8	2
38.5	39.5	39 8	itération	39	itération	8	2
39.5	40.5	40 8	itération	40	itération	8	2
-0.5	0.5	0 9	itération	0	itération	9	2
0.5	1.5	1 9	itération	1	itération	9	2
1.5	2.5	2 9	itération	2	itération	9	2
2.5	3.5	3 9	itération	3	itération	9	2
3.5	4.5	4 9	itération	4	itération	9	2
4.5	5.5	5 9	itération	5	itération	9	2
5.5	6.5	6 9	itération	6	itération	9	2
6.5	7.5	7 9	itération	7	itération	9	2
7.5	8.5	8 9	itération	8	itération	9	2
8.5	9.5	1	itération	9	itération	9	2
9.5	10.5	10 9	itération	10	itération	9	2
10.5	11.5	11 9	itération	11	itération	9	2
11.5	12.5	12 9	itération	12	itération	9	2
12.5	13.5	13 9	itération	13	itération	9	2
13.5	14.5	14 9	itération	14	itération	9	2
14.5	15.5	15 9	itération	15	itération	9	2
15.5	16.5	16 9	itération	16	itération	9	2
16.5	17.5	17 9	itération	17	itération	9	2
17.5	18.5	18 9	itération	18	itération	9	2
18.5	19.5	19 9	itération	19	itération	9	2
19.5	20.5	20 9	itération	20	itération	9	2
20.5	21.5	21 9	itération	21	itération	9	2
21.5	22.5	22 9	itération	22	itération	9	2
22.5	23.5	23 9	itération	23	itération	9	2
23.5	24.5	24 9	itération	24	itération	9	2
24.5	25.5	25 9	itération	25	itération	9	2
25.5	26.5	26 9	itération	26	itération	9	2
26.5	27.5	27 9	itération	27	itération	9	2
27.5	28.5	28 9	itération	28	itération	9	2
28.5	29.5	29 9	itération	29	itération	9	2
29.5	30.5	30 9	itération	30	itération	9	2
30.5	31.5	31 9	itération	31	itération	9	2
31.5	32.5	32 9	itération	32	itération	9	2
32.5	33.5	33 9	itération	33	itération	9	2
33.5	34.5	34 9	itération	34	itération	9	2
34.5	35.5	35 9	itération	35	itération	9	2
35.5	36.5	36 9	itération	36	itération	9	2
36.5	37.5	37 9	itération	37	itération	9	2
37.5	38.5	38 9	itération	38	itération	9	2
38.5	39.5	39 9	itération	39	itération	9	2
39.5	40.5	40 9	itération	40	itération	9	2
-0.5	0.5	0 10	itération	0	itération	10	2
0.5	1.5	1 10	itération	1	itération	10	2
1.5	2.5	2 10	itération	2	itération	10	2
2.5	3.5	3 10	itération	3	itération	10	2
3.5	4.5	4 10	itération	4	itération	10	2
4.5	5.5	5 10	itération	5	itération	10	2
5.5	6.5	6 10	itération	6	itération	10	2
6.5	7.5	7 10	itération	7	itération	10	2
7.5	8.5	8 10	itération	8	itération	10	2
8.5	9.5	9 10	itération	9	itération	10	2
9.5	10.5	1	itération	10	itération	10	2
10.5	11.5	11 10	itération	11	itération	10	2
11.5	12.5	12 10	itération	12	itération	10	2
12.5	13.5	13 10	itération	13	itération	10	2
13.5	14.5	14 10	itération	14	itération	10	2
14.5	15.5	15 10	itération	15	itération	10	2
15.5	16.5	16 10	itération	16	itération	10	2
16.5	17.5	17 10	itération	17	itération	10	2
17.5	18.5	18 10	itération	18	itération	10	2
18.5	19.5	19 10	itération	19	itération	10	2
19.5	20.5	20 10	itération	20	itération	10	2
20.5	21.5	21 10	itération	21	itération	10	2
21.5	22.5	22 10	itération	22	itération	10	2
22.5	23.5	23 10	itération	23	itération	10	2
23.5	24.5	24 10	itération	24	itération	10	2
24.5	25.5	25 10	itération	25	itération	10	2
25.5	26.5	26 10	itération	26	itération	10	2
26.5	27.5	27 10	itération	27	itération	10	2
27.5	28.5	28 10	itération	28	itération	10	2
28.5	29.5	29 10	itération	29	itération	10	2
29.5	30.5	30 10	itération	30	itération	10	2
30.5	31.5	31 10	itération	31	itération	10	2
31.5	32.5	32 10	itération	32	itération	10	2
32.5	33.5	33 10	itération	33	itération	10	2
33.5	34.5	34 10	itération	34	itération	10	2
34.5	35.5	35 10	itération	35	itération	10	2
35.5	36.5	36 10	itération	36	itération	10	2
36.5	37.5	37 10	itération	37	itération	10	2
37.5	38.5	38 10	itération	38	itération	10	2
38.5	39.5	39 10	itération	39	itération	10	2
39.5	40.5	40 10	itération	40	itération	10	2
-0.5	0.5	0 11	itération	0	itération	11	2
0.5	1.5	1 11	itération	1	itération	11	2
1.5	2.5	2 11	itération	2	itération	11	2
2.5	3.5	3 11	itération	3	itération	11	2
3.5	4.5	4 11	itération	4	itération	11	2
4.5	5.5	5 11	itération	5	itération	11	2
5.5	6.5	6 11	itération	6	itération	11	2
6.5	7.5	7 11	itération	7	itération	11	2
7.5	8.5	8 11	itération	8	itération	11	2
8.5	9.5	9 11	itération	9	itération	11	2
9.5	10.5	10 11	itération	10	itération	11	2
10.5	11.5	1	itération	11	itération	11	2
11.5	12.5	12 11	itération	12	itération	11	2
12.5	13.5	13 11	itération	13	itération	11	2
13.5	14.5	14 11	itération	14	itération	11	2
14.5	15.5	15 11	itération	15	itération	11	2
15.5	16.5	16 11	itération	16	itération	11	2
16.5	17.5	17 11	itération	17	itération	11	2
17.5	18.5	18 11	itération	18	itération	11	2
18.5	19.5	19 11	itération	19	itération	11	2
19.5	20.5	20 11	itération	20	itération	11	2
20.5	21.5	21 11	itération	21	itération	11	2
21.5	22.5	22 11	itération	22	itération	11	2
22.5	23.5	23 11	itération	23	itération	11	2
23.5	24.5	24 11	itération	24	itération	11	2
24.5	25.5	25 11	itération	25	itération	11	2
25.5	26.5	26 11	itération	26	itération	11	2
26.5	27.5	27 11	itération	27	itération	11	2
27.5	28.5	28 11	itération	28	itération	11	2
28.5	29.5	29 11	itération	29	itération	11	2
29.5	30.5	30 11	itération	30	itération	11	2
30.5	31.5	31 11	itération	31	itération	11	2
31.5	32.5	32 11	itération	32	itération	11	2
32.5	33.5	33 11	itération	33	itération	11	2
33.5	34.5	34 11	itération	34	itération	11	2
34.5	35.5	35 11	itération	35	itération	11	2
35.5	36.5	36 11	itération	36	itération	11	2
36.5	37.5	37 11	itération	37	itération	11	2
37.5	38.5	38 11	itération	38	itération	11	2
38.5	39.5	39 11	itération	39	itération	11	2
39.5	40.5	40 11	itération	40	itération	11	2
-0.5	0.5	0 12	itération	0	itération	12	2
0.5	1.5	1 12	itération	1	itération	12	2
1.5	2.5	2 12	itération	2	itération	12	2
2.5	3.5	3 12	itération	3	itération	12	2
3.5	4.5	4 12	itération	4	itération	12	2
4.5	5.5	5 12	itération	5	itération	12	2
5.5	6.5	6 12	itération	6	itération	12	2
6.5	7.5	7 12	itération	7	itération	12	2
7.5	8.5	8 12	itération	8	itération	12	2
8.5	9.5	9 12	itération	9	itération	12	2
9.5	10.5	10 12	itération	10	itération	12	2
10.5	11.5	11 12	itération	11	itération	12	2
11.5	12.5	1	itération	12	itération	12	2
12.5	13.5	13 12	itération	13	itération	12	2
13.5	14.5	14 12	itération	14	itération	12	2
14.5	15.5	15 12	itération	15	itération	12	2
15.5	16.5	16 12	itération	16	itération	12	2
16.5	17.5	17 12	itération	17	itération	12	2
17.5	18.5	18 12	itération	18	itération	12	2
18.5	19.5	19 12	itération	19	itération	12	2
19.5	20.5	20 12	itération	20	itération	12	2
20.5	21.5	21 12	itération	21	itération	12	2
21.5	22.5	22 12	itération	22	itération	12	2
22.5	23.5	23 12	itération	23	itération	12	2
23.5	24.5	24 12	itération	24	itération	12	2
24.5	25.5	25 12	itération	25	itération	12	2
25.5	26.5	26 12	itération	26	itération	12	2
26.5	27.5	27 12	itération	27	itération	12	2
27.5	28.5	28 12	itération	28	itération	12	2
28.5	29.5	29 12	itération	29	itération	12	2
29.5	30.5	30 12	itération	30	itération	12	2
30.5	31.5	31 12	itération	31	itération	12	2
31.5	32.5	32 12	itération	32	itération	12	2
32.5	33.5	33 12	itération	33	itération	12	2
33.5	34.5	34 12	itération	34	itération	12	2
34.5	35.5	35 12	itération	35	itération	12	2
35.5	36.5	36 12	itération	36	itération	12	2
36.5	37.5	37 12	itération	37	itération	12	2
37.5	38.5	38 12	itération	38	itération	12	2
38.5	39.5	39 12	itération	39	itération	12	2
39.5	40.5	40 12	itération	40	itération	12	2
-0.5	0.5	0 13	itération	0	itération	13	2
0.5	1.5	1 13	itération	1	itération	13	2
1.5	2.5	2 13	itération	2	itération	13	2
2.5	3.5	3 13	itération	3	itération	13	2
3.5	4.5	4 13	itération	4	itération	13	2
4.5	5.5	5 13	itération	5	itération	13	2
5.5	6.5	6 13	itération	6	itération	13	2
6.5	7.5	7 13	itération	7	itération	13	2
7.5	8.5	8 13	itération	8	itération	13	2
8.5	9.5	9 13	itération	9	itération	13	2
9.5	10.5	10 13	itération	10	itération	13	2
10.5	11.5	11 13	itération	11	itération	13	2
11.5	12.5	12 13	itération	12	itération	13	2
12.5	13.5	1	itération	13	itération	13	2
13.5	14.5	14 13	itération	14	itération	13	2
14.5	15.5	15 13	itération	15	itération	13	2
15.5	16.5	16 13	itération	16	itération	13	2
16.5	17.5	17 13	itération	17	itération	13	2
17.5	18.5	18 13	itération	18	itération	13	2
18.5	19.5	19 13	itération	19	itération	13	2
19.5	20.5	20 13	itération	20	itération	13	2
20.5	21.5	21 13	itération	21	itération	13	2
21.5	22.5	22 13	itération	22	itération	13	2
22.5	23.5	23 13	itération	23	itération	13	2
23.5	24.5	24 13	itération	24	itération	13	2
24.5	25.5	25 13	itération	25	itération	13	2
25.5	26.5	26 13	itération	26	itération	13	2
26.5	27.5	27 13	itération	27	itération	13	2
27.5	28.5	28 13	itération	28	itération	13	2
28.5	29.5	29 13	itération	29	itération	13	2
29.5	30.5	30 13	itération	30	itération	13	2
30.5	31.5	31 13	itération	31	itération	13	2
31.5	32.5	32 13	itération	32	itération	13	2
32.5	33.5	33 13	itération	33	itération	13	2
33.5	34.5	34 13	itération	34	itération	13	2
34.5	35.5	35 13	itération	35	itération	13	2
35.5	36.5	36 13	itération	36	itération	13	2
36.5	37.5	37 13	itération	37	itération	13	2
37.5	38.5	38 13	itération	38	itération	13	2
38.5	39.5	39 13	itération	39	itération	13	2
39.5	40.5	40 13	itération	40	itération	13	2
-0.5	0.5	0 14	itération	0	itération	14	2
0.5	1.5	1 14	itération	1	itération	14	2
1.5	2.5	2 14	itération	2	itération	14	2
2.5	3.5	3 14	itération	3	itération	14	2
3.5	4.5	4 14	itération	4	itération	14	2
4.5	5.5	5 14	itération	5	itération	14	2
5.5	6.5	6 14	itération	6	itération	14	2
6.5	7.5	7 14	itération	7	itération	14	2
7.5	8.5	8 14	itération	8	itération	14	2
8.5	9.5	9 14	itération	9	itération	14	2
9.5	10.5	10 14	itération	10	itération	14	2
10.5	11.5	11 14	itération	11	itération	14	2
11.5	12.5	12 14	itération	12	itération	14	2
12.5	13.5	13 14	itération	13	itération	14	2
13.5	14.5	1	itération	14	itération	14	2
14.5	15.5	15 14	itération	15	itération	14	2
15.5	16.5	16 14	itération	16	itération	14	2
16.5	17.5	17 14	itération	17	itération	14	2
17.5	18.5	18 14	itération	18	itération	14	2
18.5	19.5	19 14	itération	19	itération	14	2
19.5	20.5	20 14	itération	20	itération	14	2
20.5	21.5	21 14	itération	21	itération	14	2
21.5	22.5	22 14	itération	22	itération	14	2
22.5	23.5	23 14	itération	23	itération	14	2
23.5	24.5	24 14	itération	24	itération	14	2
24.5	25.5	25 14	itération	25	itération	14	2
25.5	26.5	26 14	itération	26	itération	14	2
26.5	27.5	27 14	itération	27	itération	14	2
27.5	28.5	28 14	itération	28	itération	14	2
28.5	29.5	29 14	itération	29	itération	14	2
29.5	30.5	30 14	itération	30	itération	14	2
30.5	31.5	31 14	itération	31	itération	14	2
31.5	32.5	32 14	itération	32	itération	14	2
32.5	33.5	33 14	itération	33	itération	14	2
33.5	34.5	34 14	itération	34	itération	14	2
34.5	35.5	35 14	itération	35	itération	14	2
35.5	36.5	36 14	itération	36	itération	14	2
36.5	37.5	37 14	itération	37	itération	14	2
37.5	38.5	38 14	itération	38	itération	14	2
38.5	39.5	39 14	itération	39	itération	14	2
39.5	40.5	40 14	itération	40	itération	14	2
-0.5	0.5	0 15	itération	0	itération	15	2
0.5	1.5	1 15	itération	1	itération	15	2
1.5	2.5	2 15	itération	2	itération	15	2
2.5	3.5	3 15	itération	3	itération	15	2
3.5	4.5	4 15	itération	4	itération	15	2
4.5	5.5	5 15	itération	5	itération	15	2
5.5	6.5	6 15	itération	6	itération	15	2
6.5	7.5	7 15	itération	7	itération	15	2
7.5	8.5	8 15	itération	8	itération	15	2
8.5	9.5	9 15	itération	9	itération	15	2
9.5	10.5	10 15	itération	10	itération	15	2
10.5	11.5	11 15	itération	11	itération	15	2
11.5	12.5	12 15	itération	12	itération	15	2
12.5	13.5	13 15	itération	13	itération	15	2
13.5	14.5	14 15	itération	14	itération	15	2
14.5	15.5	1	itération	15	itération	15	2
15.5	16.5	16 15	itération	16	itération	15	2
16.5	17.5	17 15	itération	17	itération	15	2
17.5	18.5	18 15	itération	18	itération	15	2
18.5	19.5	19 15	itération	19	itération	15	2
19.5	20.5	20 15	itération	20	itération	15	2
20.5	21.5	21 15	itération	21	itération	15	2
21.5	22.5	22 15	itération	22	itération	15	2
22.5	23.5	23 15	itération	23	itération	15	2
23.5	24.5	24 15	itération	24	itération	15	2
